group_id,move,piece_moved,is_checkmate,is_draw,material_eval,mobility,castling,attack_undefended,defended,move_dist,center_control,move_clock,is_best_move
1,g8h6,n,False,False,0,30,0,0,29,2,1,2,False
1,g8f6,n,False,False,0,30,0,1,29,2,3,2,False
1,b8c6,n,False,False,0,30,0,0,29,2,3,2,False
1,b8a6,n,False,False,0,30,0,0,29,2,1,2,False
1,h7h6,p,False,False,0,30,0,0,29,1,1,2,False
1,g7g6,p,False,False,0,30,0,0,29,1,1,2,False
1,f7f6,p,False,False,0,30,0,0,29,1,2,2,False
1,e7e6,p,False,False,0,30,0,0,29,1,2,2,True
1,d7d6,p,False,False,0,30,0,0,29,1,2,2,False
1,c7c6,p,False,False,0,30,0,0,29,1,2,2,False
1,b7b6,p,False,False,0,30,0,0,29,1,1,2,False
1,a7a6,p,False,False,0,30,0,0,29,1,1,2,False
1,h7h5,p,False,False,0,30,0,0,29,2,1,2,False
1,g7g5,p,False,False,0,30,0,0,28,2,1,2,False
1,f7f5,p,False,False,0,31,0,1,28,2,2,2,False
1,e7e5,p,False,False,0,29,0,0,28,2,2,2,False
1,d7d5,p,False,False,0,31,0,1,29,2,3,2,False
1,c7c5,p,False,False,0,30,0,0,28,2,2,2,False
1,b7b5,p,False,False,0,29,0,0,28,2,1,2,False
1,a7a5,p,False,False,0,30,0,0,29,2,1,2,False
2,g8e7,n,False,False,0,28,0,0,29,1,4,3,False
2,g8h6,n,False,False,0,28,0,0,29,2,4,3,False
2,g8f6,n,False,False,0,28,0,1,29,2,5,3,False
2,f8e7,b,False,False,0,28,0,0,28,1,4,3,False
2,f8d6,b,False,False,0,28,0,0,28,2,5,3,False
2,f8c5,b,False,False,0,28,0,0,25,3,5,3,False
2,f8b4,b,False,False,0,25,0,0,25,4,4,3,False
2,f8a3,b,False,False,0,27,0,0,25,5,4,3,False
2,e8e7,k,False,False,0,28,-2,0,29,1,4,3,False
2,d8e7,q,False,False,0,28,0,0,25,1,4,3,False
2,d8f6,q,False,False,0,28,0,0,25,2,6,3,False
2,d8g5,q,False,False,0,28,0,0,16,3,5,3,False
2,d8h4,q,False,False,0,27,0,1,16,4,5,3,False
2,b8c6,n,False,False,0,28,0,0,29,2,6,3,False
2,b8a6,n,False,False,0,28,0,0,29,2,4,3,False
2,h7h6,p,False,False,0,28,0,0,29,1,4,3,False
2,g7g6,p,False,False,0,28,0,0,29,1,4,3,False
2,f7f6,p,False,False,0,28,0,0,29,1,5,3,False
2,d7d6,p,False,False,0,28,0,0,29,1,5,3,False
2,c7c6,p,False,False,0,28,0,0,29,1,4,3,True
2,b7b6,p,False,False,0,28,0,0,29,1,4,3,False
2,a7a6,p,False,False,0,28,0,0,29,1,4,3,False
2,e6e5,p,False,False,0,27,0,0,28,1,4,3,False
2,h7h5,p,False,False,0,28,0,0,29,2,4,3,False
2,g7g5,p,False,False,0,28,0,0,29,2,4,3,False
2,f7f5,p,False,False,0,29,0,1,29,2,5,3,False
2,d7d5,p,False,False,0,29,0,1,29,2,5,3,False
2,c7c5,p,False,False,0,28,0,0,29,2,5,3,False
2,b7b5,p,False,False,0,27,0,0,28,2,4,3,False
2,a7a5,p,False,False,0,28,0,0,29,2,4,3,False
3,g8e7,n,False,False,0,35,0,0,29,1,2,4,False
3,g8h6,n,False,False,0,35,0,0,29,2,2,4,False
3,g8f6,n,False,False,0,35,0,1,29,2,3,4,False
3,f8e7,b,False,False,0,35,0,0,28,1,2,4,False
3,f8d6,b,False,False,0,35,0,3,25,2,3,4,False
