piece_moved,is_checkmate,is_draw,material_eval,mobility,castling,attack_undefended,defended,move_dist,center_control,move_clock,group_id,move,is_best_move
2,FALSE,FALSE,0,30,0,0,29,2,1,2,1,g8h6,FALSE
2,FALSE,FALSE,0,30,0,1,29,2,3,2,1,g8f6,FALSE
2,FALSE,FALSE,0,30,0,0,29,2,3,2,1,b8c6,FALSE
2,FALSE,FALSE,0,30,0,0,29,2,1,2,1,b8a6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,1,2,1,h7h6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,1,2,1,g7g6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,2,2,1,f7f6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,2,2,1,e7e6,TRUE
1,FALSE,FALSE,0,30,0,0,29,1,2,2,1,d7d6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,2,2,1,c7c6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,1,2,1,b7b6,FALSE
1,FALSE,FALSE,0,30,0,0,29,1,1,2,1,a7a6,FALSE
1,FALSE,FALSE,0,30,0,0,29,2,1,2,1,h7h5,FALSE
1,FALSE,FALSE,0,30,0,0,28,2,1,2,1,g7g5,FALSE
1,FALSE,FALSE,0,31,0,1,28,2,2,2,1,f7f5,FALSE
1,FALSE,FALSE,0,29,0,0,28,2,2,2,1,e7e5,FALSE
1,FALSE,FALSE,0,31,0,1,29,2,3,2,1,d7d5,FALSE
1,FALSE,FALSE,0,30,0,0,28,2,2,2,1,c7c5,FALSE
1,FALSE,FALSE,0,29,0,0,28,2,1,2,1,b7b5,FALSE
1,FALSE,FALSE,0,30,0,0,29,2,1,2,1,a7a5,FALSE
2,FALSE,FALSE,0,28,0,0,29,1,4,3,2,g8e7,FALSE
2,FALSE,FALSE,0,28,0,0,29,2,4,3,2,g8h6,FALSE
2,FALSE,FALSE,0,28,0,1,29,2,5,3,2,g8f6,FALSE
3,FALSE,FALSE,0,28,0,0,28,1,4,3,2,f8e7,FALSE
3,FALSE,FALSE,0,28,0,0,28,2,5,3,2,f8d6,FALSE
3,FALSE,FALSE,0,28,0,0,25,3,5,3,2,f8c5,FALSE
3,FALSE,FALSE,0,25,0,0,25,4,4,3,2,f8b4,FALSE
3,FALSE,FALSE,0,27,0,0,25,5,4,3,2,f8a3,FALSE
6,FALSE,FALSE,0,28,-2,0,29,1,4,3,2,e8e7,FALSE
5,FALSE,FALSE,0,28,0,0,25,1,4,3,2,d8e7,FALSE
5,FALSE,FALSE,0,28,0,0,25,2,6,3,2,d8f6,FALSE
5,FALSE,FALSE,0,28,0,0,16,3,5,3,2,d8g5,FALSE
5,FALSE,FALSE,0,27,0,1,16,4,5,3,2,d8h4,FALSE
2,FALSE,FALSE,0,28,0,0,29,2,6,3,2,b8c6,FALSE
2,FALSE,FALSE,0,28,0,0,29,2,4,3,2,b8a6,FALSE
1,FALSE,FALSE,0,28,0,0,29,1,4,3,2,h7h6,FALSE
1,FALSE,FALSE,0,28,0,0,29,1,4,3,2,g7g6,FALSE
1,FALSE,FALSE,0,28,0,0,29,1,5,3,2,f7f6,FALSE
