piece_moved,material_eval,mobility,castling,attack_undefended,defended,move_dist,center_control,move_clock,group_id,move,is_best_move
2,0,38,0,0,27,2,7,8,1,f3g5,False
2,0,34,0,0,30,2,7,8,1,f3e5,False
2,0,39,0,0,27,1,7,8,1,f3h4,False
2,0,39,0,0,30,-1,7,8,1,f3d2,False
2,0,39,0,0,30,-2,7,8,1,f3g1,False
2,1,41,0,0,30,2,6,8,1,c3d5,False
2,0,39,0,9,30,2,6,8,1,c3b5,False
2,0,40,0,9,27,1,6,8,1,c3e4,False
2,0,39,0,0,31,1,6,8,1,c3a4,False
2,0,39,0,0,29,-1,6,8,1,c3e2,False
2,0,39,0,0,25,-2,6,8,1,c3b1,False
4,0,39,-1,0,35,0,7,8,1,h1g1,False
3,0,39,0,0,29,2,7,8,1,f1d3,False
3,0,39,0,0,29,1,7,8,1,f1e2,False
6,0,39,-2,0,29,1,7,8,1,e1e2,False
6,0,39,-2,0,29,1,7,8,1,e1d2,False
5,0,38,0,0,25,3,7,8,1,d1a4,True
5,0,39,0,0,25,2,7,8,1,d1d3,False
5,0,39,0,0,26,2,7,8,1,d1b3,False
5,0,39,0,0,26,1,7,8,1,d1e2,False
5,0,39,0,0,26,1,7,8,1,d1d2,False
5,0,39,0,0,17,1,7,8,1,d1c2,False
5,0,39,0,0,31,0,7,8,1,d1c1,False
5,0,39,0,0,31,0,7,8,1,d1b1,False
4,0,39,-1,0,30,0,7,8,1,a1c1,False
4,0,39,-1,0,31,0,7,8,1,a1b1,False
1,1,42,0,0,30,1,7,8,1,c4d5,False
1,0,36,0,9,30,1,7,8,1,c4c5,False
1,0,40,0,0,30,1,7,8,1,e3e4,False
1,0,39,0,0,30,1,7,8,1,h2h3,False
1,0,38,0,0,30,1,7,8,1,g2g3,False
1,0,39,0,0,28,1,7,8,1,b2b3,False
1,0,39,0,0,30,1,7,8,1,a2a3,False
1,0,39,0,0,30,2,7,8,1,h2h4,False
1,0,39,0,0,29,2,7,8,1,g2g4,False
1,0,38,0,0,27,2,7,8,1,b2b4,False
1,0,39,0,0,30,2,7,8,1,a2a4,False
5,1,9,0,18,16,2,7,9,2,a4c6,False
5,0,39,0,1,26,1,7,9,2,a4b5,False
5,1,41,0,6,16,1,7,9,2,a4a5,False
5,0,40,0,10,17,0,7,9,2,a4b4,False
5,0,40,0,1,26,-1,7,9,2,a4b3,False
5,0,40,0,9,26,-1,7,9,2,a4a3,False
5,0,40,0,0,17,-2,7,9,2,a4c2,False
5,0,40,0,0,30,-3,7,9,2,a4d1,False
2,0,37,0,0,22,2,7,9,2,f3g5,False
2,0,33,0,0,25,2,7,9,2,f3e5,False
2,0,38,0,0,22,1,7,9,2,f3h4,False
2,0,38,0,0,25,-1,7,9,2,f3d2,False
2,0,38,0,0,25,-2,7,9,2,f3g1,False
2,1,39,0,1,16,2,6,9,2,c3d5,False
2,0,39,0,9,16,2,6,9,2,c3b5,False
2,0,39,0,9,13,1,6,9,2,c3e4,False
2,0,38,0,0,16,-1,6,9,2,c3e2,False
2,0,38,0,0,17,-2,6,9,2,c3d1,False
2,0,38,0,0,16,-2,6,9,2,c3b1,False
4,0,38,-1,0,30,0,7,9,2,h1g1,False
3,0,38,0,0,21,2,7,9,2,f1d3,False
3,0,38,0,0,24,1,7,9,2,f1e2,False
6,0,38,-2,0,25,1,7,9,2,e1e2,False
6,0,38,-2,0,24,1,7,9,2,e1d2,False
6,0,38,-2,0,24,0,7,9,2,e1d1,False
4,0,38,-1,0,30,0,7,9,2,a1d1,False
4,0,38,-1,0,25,0,7,9,2,a1c1,False
4,0,38,-1,0,31,0,7,9,2,a1b1,False
6,0,38,-2,0,30,0,7,9,2,e1c1,False
1,1,40,0,0,25,1,7,9,2,c4d5,False
1,0,36,0,10,25,1,7,9,2,c4c5,True
1,0,39,0,0,25,1,7,9,2,e3e4,False
1,0,38,0,0,25,1,7,9,2,h2h3,False
1,0,37,0,0,22,1,7,9,2,g2g3,False
1,0,38,0,0,23,1,7,9,2,b2b3,False
1,0,38,0,0,25,1,7,9,2,a2a3,False
1,0,38,0,0,25,2,7,9,2,h2h4,False
1,0,38,0,0,21,2,7,9,2,g2g4,False
1,0,38,0,0,23,2,7,9,2,b2b4,False
5,1,7,0,5,16,2,6,10,3,a4c6,False
5,0,30,0,0,26,1,6,10,3,a4b5,False
5,1,31,0,5,16,1,6,10,3,a4a5,False
5,0,31,0,0,25,0,6,10,3,a4c4,False
5,0,31,0,0,17,0,6,10,3,a4b4,False
5,0,30,0,0,26,-1,6,10,3,a4b3,False
5,0,30,0,0,26,-1,6,10,3,a4a3,False
5,0,30,0,0,17,-2,6,10,3,a4c2,False
5,0,30,0,0,30,-3,6,10,3,a4d1,False
2,0,28,0,0,22,2,6,10,3,f3g5,False
2,0,27,0,0,25,2,6,10,3,f3e5,False
2,0,29,0,0,22,1,6,10,3,f3h4,False
2,0,29,0,0,25,-1,6,10,3,f3d2,False
2,0,29,0,0,25,-2,6,10,3,f3g1,False
2,1,31,0,0,13,2,4,10,3,c3d5,False
2,0,29,0,0,16,2,4,10,3,c3b5,False
2,0,30,0,0,13,1,4,10,3,c3e4,False
2,0,29,0,0,16,-1,4,10,3,c3e2,False
2,0,29,0,0,17,-2,4,10,3,c3d1,False
2,0,29,0,0,16,-2,4,10,3,c3b1,False
4,0,29,-1,0,30,0,6,10,3,h1g1,False
3,0,29,0,0,21,5,6,10,3,f1a6,False
3,0,29,0,0,24,4,6,10,3,f1b5,False
3,0,30,0,0,24,3,6,10,3,f1c4,False
3,0,29,0,0,21,2,6,10,3,f1d3,False
3,0,29,0,0,24,1,6,10,3,f1e2,False
6,0,29,-2,0,25,1,6,10,3,e1e2,False
6,0,29,-2,0,24,1,6,10,3,e1d2,False
6,0,29,-2,0,24,0,6,10,3,e1d1,False
4,0,29,-1,0,30,0,6,10,3,a1d1,False
4,0,29,-1,0,25,0,6,10,3,a1c1,False
4,0,29,-1,0,31,0,6,10,3,a1b1,False
6,0,29,-2,0,30,0,6,10,3,e1c1,False
1,1,28,0,0,24,1,6,10,3,c5b6,True
1,0,30,0,0,25,1,6,10,3,e3e4,False
1,0,29,0,0,25,1,6,10,3,h2h3,False
1,0,29,0,0,22,1,6,10,3,g2g3,False
1,0,29,0,0,23,1,6,10,3,b2b3,False
1,0,29,0,0,25,1,6,10,3,a2a3,False
1,0,29,0,0,25,2,6,10,3,h2h4,False
1,0,29,0,0,21,2,6,10,3,g2g4,False
1,0,30,0,0,23,2,6,10,3,b2b4,False
5,1,8,0,17,15,2,7,11,4,a4c6,False
5,0,34,0,9,25,1,7,11,4,a4b5,False
5,1,38,0,14,15,1,7,11,4,a4a5,False
5,0,38,0,0,24,0,7,11,4,a4c4,False
5,0,33,0,9,16,0,7,11,4,a4b4,False
5,0,36,0,9,25,-1,7,11,4,a4b3,False
5,0,34,0,0,25,-1,7,11,4,a4a3,False
5,0,37,0,0,16,-2,7,11,4,a4c2,False
5,0,37,0,0,29,-3,7,11,4,a4d1,False
2,0,34,0,0,21,2,7,11,4,f3g5,False
2,0,33,0,0,24,2,7,11,4,f3e5,False
2,0,35,0,0,21,1,7,11,4,f3h4,False
2,0,35,0,0,24,-1,7,11,4,f3d2,False
2,0,35,0,0,24,-2,7,11,4,f3g1,False
2,1,36,0,9,12,2,5,11,4,c3d5,False
2,0,34,0,0,15,2,5,11,4,c3b5,True
2,0,36,0,0,12,1,5,11,4,c3e4,False
2,0,35,0,0,15,-1,5,11,4,c3e2,False
2,0,35,0,0,16,-2,5,11,4,c3d1,False
2,0,35,0,0,15,-2,5,11,4,c3b1,False
4,0,35,-1,0,29,0,7,11,4,h1g1,False
3,0,35,0,3,20,5,7,11,4,f1a6,False
3,0,33,0,0,23,4,7,11,4,f1b5,False
3,0,36,0,0,23,3,7,11,4,f1c4,False
3,0,35,0,0,20,2,7,11,4,f1d3,False
3,0,35,0,0,23,1,7,11,4,f1e2,False
6,0,35,-2,0,24,1,7,11,4,e1e2,False
6,0,35,-2,0,23,1,7,11,4,e1d2,False
6,0,35,-2,0,23,0,7,11,4,e1d1,False
4,0,35,-1,0,29,0,7,11,4,a1d1,False
4,0,35,-1,0,24,0,7,11,4,a1c1,False
4,0,35,-1,0,30,0,7,11,4,a1b1,False
6,0,35,-2,0,29,0,7,11,4,e1c1,False
1,0,36,0,0,24,1,7,11,4,e3e4,False
1,0,35,0,0,24,1,7,11,4,h2h3,False
1,0,35,0,0,21,1,7,11,4,g2g3,False
1,0,34,0,0,22,1,7,11,4,b2b3,False
1,0,35,0,0,24,1,7,11,4,a2a3,False
1,0,35,0,0,24,2,7,11,4,h2h4,False
1,0,35,0,0,20,2,7,11,4,g2g4,False
1,0,34,0,0,22,2,7,11,4,b2b4,False
5,-2,9,0,9,22,1,6,12,5,a4b5,False
5,-2,37,0,14,12,1,5,12,5,a4a5,False
5,-3,38,0,3,21,0,6,12,5,a4c4,False
5,-3,33,0,0,13,0,5,12,5,a4b4,False
5,-3,36,0,0,22,-1,6,12,5,a4b3,False
5,-3,33,0,0,22,-1,5,12,5,a4a3,False
5,-3,36,0,3,13,-2,6,12,5,a4c2,False
5,-3,36,0,0,26,-3,5,12,5,a4d1,False
2,-3,34,0,0,9,2,6,12,5,f3g5,False
2,-3,33,0,0,12,2,5,12,5,f3e5,False
2,-3,35,0,0,9,1,5,12,5,f3h4,False
2,-3,35,0,0,12,-1,6,12,5,f3d2,False
2,-3,35,0,0,12,-2,5,12,5,f3g1,False
4,-3,35,-1,0,17,0,5,12,5,h1g1,False
3,-2,9,0,0,20,4,5,12,5,f1b5,True
3,-3,36,0,0,11,3,6,12,5,f1c4,False
3,-3,35,0,0,8,2,6,12,5,f1d3,False
3,-3,35,0,0,11,1,5,12,5,f1e2,False
6,-3,35,-2,0,12,1,5,12,5,e1e2,False
6,-3,35,-2,0,11,1,5,12,5,e1d2,False
6,-3,35,-2,0,11,0,5,12,5,e1d1,False
