piece_moved,is_check,mvv_lva,num_new_attacks,value_new_attacks,material_eval,mobility,castling,attack_undefended,defended,move_dist,center_control,move_clock,group_id,move,is_best_move
2,False,0,0,0,0,21,0,0,29,2,0,2,1,g8h6,False
2,False,0,0,0,0,21,0,0,29,2,2,2,1,g8f6,False
2,False,0,0,0,0,21,0,0,29,2,2,2,1,b8c6,True
2,False,0,0,0,0,21,0,0,29,2,0,2,1,b8a6,False
1,False,0,0,0,0,21,0,0,29,1,0,2,1,h7h6,False
1,False,0,0,0,0,21,0,0,29,1,0,2,1,g7g6,False
1,False,0,0,0,0,21,0,0,29,1,1,2,1,f7f6,False
1,False,0,0,0,0,21,0,0,29,1,1,2,1,e7e6,False
1,False,0,0,0,0,21,0,0,29,1,1,2,1,d7d6,False
1,False,0,0,0,0,21,0,0,29,1,1,2,1,c7c6,False
1,False,0,0,0,0,21,0,0,29,1,0,2,1,b7b6,False
1,False,0,0,0,0,21,0,0,29,1,0,2,1,a7a6,False
1,False,0,0,0,0,21,0,0,29,2,0,2,1,h7h5,False
1,False,0,0,0,0,21,0,0,28,2,0,2,1,g7g5,False
1,False,0,0,0,0,21,0,0,28,2,1,2,1,f7f5,False
1,False,0,0,0,0,21,0,0,28,2,1,2,1,e7e5,False
1,False,0,0,0,0,21,0,0,29,2,2,2,1,d7d5,False
1,False,0,0,0,0,21,0,0,28,2,1,2,1,c7c5,False
1,False,0,0,0,0,21,0,0,28,2,0,2,1,b7b5,False
1,False,0,0,0,0,21,0,0,29,2,0,2,1,a7a5,False
2,False,0,0,0,0,26,0,0,29,2,4,3,2,g8h6,False
2,False,0,0,0,0,26,0,0,29,2,6,3,2,g8f6,False
4,False,0,0,0,0,26,-1,0,34,0,4,3,2,a8b8,False
2,False,0,0,0,0,27,0,0,29,-2,2,3,2,c6b8,False
2,False,0,0,0,0,27,0,0,26,1,2,3,2,c6e5,False
2,False,0,0,0,0,27,0,0,26,1,2,3,2,c6a5,False
2,False,0,2,2,0,26,0,0,26,2,2,3,2,c6d4,False
2,False,0,2,2,0,26,0,0,26,2,3,3,2,c6b4,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,h7h6,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,g7g6,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,f7f6,False
1,False,0,0,0,0,26,0,0,29,1,5,3,2,e7e6,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,d7d6,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,b7b6,False
1,False,0,0,0,0,26,0,0,29,1,4,3,2,a7a6,False
1,False,0,0,0,0,26,0,0,29,2,4,3,2,h7h5,False
1,False,0,0,0,0,26,0,0,28,2,4,3,2,g7g5,False
1,False,0,0,0,0,26,0,0,28,2,5,3,2,f7f5,False
1,False,0,0,0,0,26,0,0,29,2,4,3,2,e7e5,False
1,False,0,0,0,0,25,0,0,29,2,6,3,2,d7d5,True
1,False,0,0,0,0,26,0,0,28,2,4,3,2,b7b5,False
1,False,0,0,0,0,26,0,0,29,2,4,3,2,a7a5,False
2,False,0,0,0,0,32,0,0,29,2,6,4,3,g8h6,False
2,False,0,0,0,0,32,0,0,29,2,6,4,3,g8f6,False
6,False,0,0,0,0,32,-2,0,27,1,5,4,3,e8d7,False
5,False,0,0,0,0,32,0,0,29,1,6,4,3,d8d7,False
5,False,0,1,1,0,32,0,0,29,2,6,4,3,d8d6,True
3,False,0,0,0,0,32,0,0,32,1,5,4,3,c8d7,False
3,False,0,0,0,0,32,0,0,33,2,6,4,3,c8e6,False
3,False,0,1,1,0,32,0,0,30,3,6,4,3,c8f5,False
3,False,0,1,1,0,31,0,0,30,4,6,4,3,c8g4,False
3,False,0,1,3,0,30,0,3,30,5,6,4,3,c8h3,False
4,False,0,0,0,0,32,-1,0,34,0,6,4,3,a8b8,False
2,False,0,0,0,0,32,0,0,29,-2,4,4,3,c6b8,False
2,False,0,1,1,0,32,0,0,26,1,4,4,3,c6e5,False
2,False,0,0,0,0,32,0,0,26,1,4,4,3,c6a5,False
2,False,0,2,2,0,31,0,0,26,2,4,4,3,c6d4,False
2,False,0,3,3,0,31,0,0,26,2,4,4,3,c6b4,False
1,False,0,0,0,0,32,0,0,29,1,6,4,3,h7h6,False
1,False,0,0,0,0,32,0,0,29,1,6,4,3,g7g6,False
1,False,0,0,0,0,32,0,0,29,1,6,4,3,f7f6,False
1,False,0,0,0,0,32,0,0,29,1,6,4,3,e7e6,False
1,False,0,0,0,0,32,0,0,26,1,6,4,3,b7b6,False
1,False,0,0,0,0,32,0,0,29,1,6,4,3,a7a6,False
1,False,0,0,0,0,32,0,0,29,1,5,4,3,d5d4,False
1,False,0,0,0,0,32,0,0,29,2,6,4,3,h7h5,False
1,False,0,0,0,0,31,0,0,28,2,6,4,3,g7g5,False
1,False,0,0,0,0,32,0,0,29,2,6,4,3,f7f5,False
1,False,0,0,0,0,32,0,0,29,2,6,4,3,e7e5,False
1,False,0,0,0,0,32,0,0,25,2,6,4,3,b7b5,False
1,False,0,0,0,0,32,0,0,29,2,6,4,3,a7a5,False
2,False,0,0,0,0,33,0,0,29,2,6,5,4,g8h6,False
2,False,0,0,0,0,33,0,0,29,2,6,5,4,g8f6,True
6,False,0,0,0,0,33,-2,0,25,0,6,5,4,e8d8,False
6,False,0,0,0,0,33,-2,0,25,1,6,5,4,e8d7,False
3,False,0,0,0,0,33,0,0,28,1,6,5,4,c8d7,False
3,False,0,0,0,0,33,0,0,28,2,6,5,4,c8e6,False
3,False,0,1,1,0,33,0,0,25,3,6,5,4,c8f5,False
3,False,0,1,1,0,32,0,0,25,4,6,5,4,c8g4,False
3,False,0,1,3,0,31,0,3,25,5,6,5,4,c8h3,False
4,False,0,0,0,0,33,-1,0,34,0,6,5,4,a8b8,False
5,False,0,-1,-1,0,33,0,0,29,-2,6,5,4,d6d8,False
5,False,0,-1,-1,0,33,0,0,29,-1,6,5,4,d6d7,False
5,False,0,1,3,0,32,0,0,27,0,5,5,4,d6h6,False
5,False,0,1,1,0,33,0,0,27,0,5,5,4,d6g6,False
5,False,0,1,3,0,33,0,0,27,0,5,5,4,d6f6,False
5,False,0,0,0,0,33,0,0,28,0,6,5,4,d6e6,False
5,False,0,2,4,0,33,0,0,29,1,6,5,4,d6e5,False
5,False,0,1,3,0,33,0,0,19,1,6,5,4,d6c5,False
5,False,0,2,4,0,30,0,0,19,2,5,5,4,d6f4,False
5,False,0,1,3,0,27,0,0,27,2,5,5,4,d6b4,False
5,False,-8,3,5,1,32,0,3,19,3,5,5,4,d6g3,False
5,False,0,2,4,0,32,0,0,18,3,5,5,4,d6a3,False
2,False,0,0,0,0,33,0,0,29,-2,5,5,4,c6d8,False
2,False,0,0,0,0,33,0,0,26,-2,5,5,4,c6b8,False
2,False,0,0,0,0,33,0,0,29,1,5,5,4,c6e5,False
2,False,0,0,0,0,33,0,0,26,1,5,5,4,c6a5,False
2,False,0,2,2,0,32,0,0,26,2,5,5,4,c6d4,False
2,False,0,3,3,0,32,0,0,29,2,5,5,4,c6b4,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,h7h6,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,g7g6,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,f7f6,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,e7e6,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,b7b6,False
1,False,0,0,0,0,33,0,0,29,1,6,5,4,a7a6,False
1,False,0,1,3,0,33,0,0,29,1,5,5,4,d5d4,False
1,False,0,0,0,0,33,0,0,29,2,6,5,4,h7h5,False
1,False,0,0,0,0,32,0,0,28,2,6,5,4,g7g5,False
1,False,0,0,0,0,33,0,0,29,2,6,5,4,f7f5,False
1,False,0,-1,-1,0,33,0,0,29,2,6,5,4,e7e5,False
1,False,0,0,0,0,33,0,0,28,2,6,5,4,b7b5,False
1,False,0,0,0,0,33,0,0,29,2,6,5,4,a7a5,False
4,False,0,0,0,0,34,-1,0,34,0,6,6,5,h8g8,False
6,False,0,0,0,0,34,-2,0,28,0,6,6,5,e8d8,False
6,False,0,0,0,0,34,-2,0,28,1,6,6,5,e8d7,False
3,False,0,0,0,0,34,0,0,28,1,6,6,5,c8d7,False
3,False,0,0,0,0,34,0,0,28,2,6,6,5,c8e6,False
3,False,0,1,1,0,34,0,0,25,3,6,6,5,c8f5,False
3,False,0,1,1,0,33,0,0,28,4,6,6,5,c8g4,False
3,False,0,1,3,0,32,0,3,25,5,6,6,5,c8h3,False
4,False,0,0,0,0,34,-1,0,34,0,6,6,5,a8b8,False
2,False,0,0,0,0,34,0,0,29,-2,6,6,5,f6g8,False
2,False,0,0,0,0,34,0,0,29,-1,6,6,5,f6d7,False
2,False,0,0,0,0,34,0,0,26,1,6,6,5,f6h5,False
2,False,0,2,2,0,33,0,0,29,2,6,6,5,f6g4,False
2,False,0,3,7,0,33,0,0,29,2,6,6,5,f6e4,False
5,False,0,-1,-1,0,34,0,0,29,-2,6,6,5,d6d8,False
5,False,0,-1,-1,0,34,0,0,29,-1,6,6,5,d6d7,False
5,False,0,0,0,0,34,0,0,28,0,6,6,5,d6e6,False
5,False,0,2,4,0,34,0,0,29,1,6,6,5,d6e5,False
5,False,0,1,3,0,34,0,0,19,1,6,6,5,d6c5,True
5,False,0,2,4,0,32,0,0,20,2,6,6,5,d6f4,False
5,False,0,1,3,0,33,0,1,28,2,6,6,5,d6b4,False
5,False,-8,3,5,1,33,0,3,20,3,6,6,5,d6g3,False
5,False,0,2,4,0,33,0,1,19,3,6,6,5,d6a3,False
2,False,0,0,0,0,34,0,0,29,-2,5,6,5,c6d8,False
2,False,0,0,0,0,34,0,0,26,-2,5,6,5,c6b8,False
2,False,0,0,0,0,34,0,0,29,1,5,6,5,c6e5,False
2,False,0,0,0,0,34,0,0,26,1,5,6,5,c6a5,False
2,False,0,2,2,0,33,0,0,26,2,5,6,5,c6d4,False
2,False,0,3,3,0,33,0,0,29,2,5,6,5,c6b4,False
1,False,0,0,0,0,34,0,0,29,1,6,6,5,h7h6,False
1,False,0,0,0,0,34,0,0,29,1,6,6,5,g7g6,False
1,False,0,0,0,0,34,0,0,29,1,6,6,5,e7e6,False
1,False,0,0,0,0,34,0,0,29,1,6,6,5,b7b6,False
1,False,0,0,0,0,34,0,0,29,1,6,6,5,a7a6,False
1,False,0,1,3,0,34,0,0,29,1,6,6,5,d5d4,False
1,False,0,0,0,0,34,0,0,29,2,6,6,5,h7h5,False
1,False,0,0,0,0,33,0,0,28,2,6,6,5,g7g5,False
1,False,0,-1,-1,0,34,0,0,29,2,6,6,5,e7e5,False
1,False,0,0,0,0,34,0,0,28,2,6,6,5,b7b5,False
1,False,0,0,0,0,34,0,0,29,2,6,6,5,a7a5,False
4,False,0,0,0,0,35,-1,0,24,0,8,7,6,h8g8,False
6,False,0,0,0,0,35,-2,0,19,0,8,7,6,e8d8,False
6,False,0,0,0,0,35,-2,0,19,1,8,7,6,e8d7,False
3,False,0,0,0,0,35,0,0,18,1,8,7,6,c8d7,False
3,False,0,0,0,0,35,0,0,18,2,8,7,6,c8e6,False
3,False,0,1,1,0,35,0,0,15,3,8,7,6,c8f5,False
3,False,0,1,3,0,34,0,0,18,4,8,7,6,c8g4,False
3,False,0,1,3,0,33,0,3,15,5,8,7,6,c8h3,False
4,False,0,0,0,0,35,-1,0,24,0,8,7,6,a8b8,False
2,False,0,0,0,0,35,0,0,19,-2,8,7,6,f6g8,False
2,False,0,0,0,0,35,0,0,28,-1,8,7,6,f6d7,False
2,False,0,1,1,0,35,0,0,16,1,8,7,6,f6h5,False
2,False,0,1,1,0,34,0,0,19,2,8,7,6,f6g4,False
2,False,0,2,4,0,35,0,0,28,2,8,7,6,f6e4,False
2,False,0,0,0,0,35,0,0,20,-2,7,7,6,c6d8,False
2,False,0,0,0,0,35,0,0,17,-2,7,7,6,c6b8,False
2,False,0,2,4,0,35,0,0,17,1,7,7,6,c6e5,False
2,False,0,0,0,0,35,0,0,20,1,7,7,6,c6a5,False
2,False,0,2,4,0,34,0,0,20,2,7,7,6,c6d4,False
2,False,0,3,3,0,34,0,0,20,2,7,7,6,c6b4,True
5,False,0,-1,-3,0,35,0,0,29,-1,8,7,6,c5d6,False
5,False,0,0,-2,0,35,0,1,29,-1,8,7,6,c5b6,False
5,False,0,0,-2,0,35,0,1,19,0,8,7,6,c5b5,False
5,False,0,0,0,0,35,0,0,29,0,8,7,6,c5a5,False
5,False,0,1,1,0,34,0,0,28,1,8,7,6,c5d4,False
5,False,0,1,1,0,36,0,0,28,1,8,7,6,c5c4,False
5,False,0,0,0,0,34,0,1,28,1,8,7,6,c5b4,False
5,False,0,3,5,0,31,0,0,19,2,8,7,6,c5e3,False
5,False,-6,2,2,3,27,0,1,19,2,7,7,6,c5c3,False
5,False,0,1,1,0,34,0,1,19,2,8,7,6,c5a3,False
5,True,-8,3,4,1,1,0,3,19,3,8,7,6,c5f2,False
1,False,0,0,0,0,35,0,0,19,1,8,7,6,h7h6,False
1,False,0,0,0,0,35,0,0,19,1,8,7,6,g7g6,False
1,False,0,0,0,0,35,0,0,28,1,8,7,6,e7e6,False
1,False,0,0,0,0,35,0,0,28,1,8,7,6,b7b6,False
1,False,0,0,0,0,35,0,0,19,1,8,7,6,a7a6,False
1,False,0,-1,-1,0,34,0,0,19,1,8,7,6,d5d4,False
1,False,0,0,0,0,35,0,0,19,2,8,7,6,h7h5,False
1,False,0,0,0,0,34,0,0,18,2,8,7,6,g7g5,False
1,False,0,0,0,0,35,0,0,28,2,8,7,6,e7e5,False
1,False,0,0,0,0,35,0,0,19,2,8,7,6,b7b5,False
1,False,0,0,0,0,35,0,0,19,2,8,7,6,a7a5,False
4,False,0,0,0,0,33,-1,0,25,0,7,8,7,h8g8,False
6,False,0,0,0,0,33,-2,0,19,0,7,8,7,e8d8,False
6,False,0,0,0,0,33,-2,0,19,1,7,8,7,e8d7,False
3,False,0,0,0,0,33,0,0,19,1,7,8,7,c8d7,False
3,False,0,0,0,0,33,0,0,19,2,7,8,7,c8e6,False
3,False,0,0,0,0,33,0,0,16,3,7,8,7,c8f5,False
3,False,0,1,3,0,32,0,0,19,4,7,8,7,c8g4,False
3,False,0,1,3,0,31,0,3,16,5,7,8,7,c8h3,False
4,False,0,0,0,0,33,-1,0,20,0,7,8,7,a8b8,False
2,False,0,0,0,0,33,0,0,20,-2,7,8,7,f6g8,False
2,False,0,0,0,0,33,0,0,29,-1,8,8,7,f6d7,False
2,False,0,1,1,0,33,0,0,17,1,7,8,7,f6h5,False
2,False,0,2,2,0,32,0,0,20,2,8,8,7,f6g4,False
2,False,0,3,5,0,32,0,0,29,2,7,8,7,f6e4,False
5,False,0,-1,-3,0,32,0,0,29,-1,7,8,7,c5d6,False
5,False,0,-1,-1,0,32,0,0,26,-1,6,8,7,c5c6,False
5,False,0,-1,-3,0,32,0,0,29,-1,7,8,7,c5b6,False
5,False,0,-1,-3,0,32,0,0,19,0,6,8,7,c5b5,False
5,False,0,-2,-4,0,32,0,0,20,0,6,8,7,c5a5,False
5,False,-8,1,3,1,33,0,0,19,1,7,8,7,c5d4,False
5,False,0,1,1,0,32,0,0,29,1,7,8,7,c5c4,True
5,False,-6,2,4,3,24,0,1,20,2,5,8,7,c5c3,False
2,False,0,-2,-2,0,34,0,0,19,-2,8,8,7,b4c6,False
2,False,0,-2,-2,0,34,0,0,29,-2,7,8,7,b4a6,False
2,True,0,1,0,0,3,0,1,26,1,8,8,7,b4d3,False
